Index;Season;Gameday;Date;HomeTeam;AwayTeam;HomeTeamGoals;AwayTeamGoals;Result;HomeTeamShots;AwayTeamShots;HomeTeamShotsOnTarget;AwayTeamShotsOnTarget;HomeTeamCorners;AwayTeamCorners;HomeTeamYellow;AwayTeamYellow;HomeTeamRed;AwayTeamRed
1;2024;1;23/08/2024;M'gladbach;Leverkusen;2;3;A;14;25;7;9;2;4;1;0;0;0
2;2024;1;24/08/2024;Augsburg;Werder Bremen;2;2;D;10;12;3;6;4;2;3;1;0;0
3;2024;1;24/08/2024;Freiburg;Stuttgart;3;1;H;15;9;4;2;6;3;2;1;0;0
4;2024;1;24/08/2024;Hoffenheim;Holstein Kiel;3;2;H;20;15;8;6;8;6;2;3;0;1
5;2024;1;24/08/2024;Mainz;Union Berlin;1;1;D;15;15;3;4;8;9;1;3;0;0
6;2024;1;24/08/2024;RB Leipzig;Bochum;1;0;H;12;10;3;4;9;3;1;3;1;0
7;2024;1;24/08/2024;Dortmund;Ein Frankfurt;2;0;H;17;7;5;2;7;7;0;1;0;0
8;2024;1;25/08/2024;Wolfsburg;Bayern Munich;2;3;A;11;14;2;8;1;7;2;3;0;0
9;2024;1;25/08/2024;St Pauli;Heidenheim;0;2;A;11;6;3;3;4;2;2;3;0;0
10;2024;2;30/08/2024;Union Berlin;St Pauli;1;0;H;10;8;5;2;5;4;3;1;0;0
11;2024;2;31/08/2024;Bochum;M'gladbach;0;2;A;16;15;4;6;3;4;1;0;0;0
12;2024;2;31/08/2024;Ein Frankfurt;Hoffenheim;3;1;H;17;10;7;3;1;4;0;3;0;0
13;2024;2;31/08/2024;Holstein Kiel;Wolfsburg;0;2;A;12;12;5;4;1;7;4;7;0;0
14;2024;2;31/08/2024;Stuttgart;Mainz;3;3;D;28;9;13;7;11;2;4;2;0;0
15;2024;2;31/08/2024;Werder Bremen;Dortmund;0;0;D;5;9;1;4;5;6;2;7;0;1
16;2024;2;31/08/2024;Leverkusen;RB Leipzig;2;3;A;27;10;10;4;18;2;3;1;0;0
17;2024;2;01/09/2024;Heidenheim;Augsburg;4;0;H;17;15;9;1;5;6;0;3;0;0
18;2024;2;01/09/2024;Bayern Munich;Freiburg;2;0;H;11;8;4;4;2;4;1;0;0;0
