Season,Gameday,Date,Time,HomeTeam,AwayTeam
2024,1,23/08/2024,20:30,Borussia Mönchengladbach,Bayer 04 Leverkusen
2024,1,24/08/2024,15:30,1. FSV Mainz 05,1. FC Union Berlin
2024,1,24/08/2024,15:30,FC Augsburg,SV Werder Bremen
2024,1,24/08/2024,15:30,SC Freiburg,VfB Stuttgart
2024,1,24/08/2024,15:30,TSG Hoffenheim,Holstein Kiel
2024,1,24/08/2024,15:30,RB Leipzig,VfL Bochum 1848
2024,1,24/08/2024,18:30,Borussia Dortmund,Eintracht Frankfurt
2024,1,25/08/2024,15:30,VfL Wolfsburg,FC Bayern München
2024,1,25/08/2024,17:30,FC St. Pauli,1. FC Heidenheim 1846
2024,2,30/08/2024,20:30,1. FC Union Berlin,FC St. Pauli
2024,2,31/08/2024,15:30,Holstein Kiel,VfL Wolfsburg
2024,2,31/08/2024,15:30,VfL Bochum 1848,Borussia Mönchengladbach
2024,2,31/08/2024,15:30,SV Werder Bremen,Borussia Dortmund
2024,2,31/08/2024,15:30,Eintracht Frankfurt,TSG Hoffenheim
2024,2,31/08/2024,15:30,VfB Stuttgart,1. FSV Mainz 05
2024,2,31/08/2024,18:30,Bayer 04 Leverkusen,RB Leipzig
2024,2,01/09/2024,15:30,1. FC Heidenheim 1846,FC Augsburg
2024,2,01/09/2024,17:30,FC Bayern München,SC Freiburg
2024,3,13/09/2024,20:30,Borussia Dortmund,1. FC Heidenheim 1846
2024,3,14/09/2024,15:30,Borussia Mönchengladbach,VfB Stuttgart
2024,3,14/09/2024,15:30,VfL Wolfsburg,Eintracht Frankfurt
2024,3,14/09/2024,15:30,SC Freiburg,VfL Bochum 1848
2024,3,14/09/2024,15:30,TSG Hoffenheim,Bayer 04 Leverkusen
2024,3,14/09/2024,15:30,RB Leipzig,1. FC Union Berlin
2024,3,14/09/2024,18:30,Holstein Kiel,FC Bayern München
2024,3,15/09/2024,15:30,FC Augsburg,FC St. Pauli
2024,3,15/09/2024,17:30,1. FSV Mainz 05,SV Werder Bremen
2024,4,20/09/2024,20:30,FC Augsburg,1. FSV Mainz 05
2024,4,21/09/2024,15:30,VfL Bochum 1848,Holstein Kiel
2024,4,21/09/2024,15:30,1. FC Union Berlin,TSG Hoffenheim
2024,4,21/09/2024,15:30,SV Werder Bremen,FC Bayern München
2024,4,21/09/2024,15:30,1. FC Heidenheim 1846,SC Freiburg
2024,4,21/09/2024,18:30,Eintracht Frankfurt,Borussia Mönchengladbach
2024,4,22/09/2024,15:30,Bayer 04 Leverkusen,VfL Wolfsburg
2024,4,22/09/2024,17:30,VfB Stuttgart,Borussia Dortmund
2024,4,22/09/2024,19:30,FC St. Pauli,RB Leipzig
2024,5,27/09/2024,20:30,Borussia Dortmund,VfL Bochum 1848
2024,5,28/09/2024,15:30,Borussia Mönchengladbach,1. FC Union Berlin
2024,5,28/09/2024,15:30,1. FSV Mainz 05,1. FC Heidenheim 1846
2024,5,28/09/2024,15:30,VfL Wolfsburg,VfB Stuttgart
2024,5,28/09/2024,15:30,SC Freiburg,FC St. Pauli
2024,5,28/09/2024,15:30,RB Leipzig,FC Augsburg
2024,5,28/09/2024,18:30,FC Bayern München,Bayer 04 Leverkusen
2024,5,29/09/2024,15:30,Holstein Kiel,Eintracht Frankfurt
2024,5,29/09/2024,17:30,TSG Hoffenheim,SV Werder Bremen
2024,6,04/10/2024,20:30,FC Augsburg,Borussia Mönchengladbach
2024,6,05/10/2024,15:30,VfL Bochum 1848,VfL Wolfsburg
2024,6,05/10/2024,15:30,1. FC Union Berlin,Borussia Dortmund
2024,6,05/10/2024,15:30,SV Werder Bremen,SC Freiburg
2024,6,05/10/2024,15:30,Bayer 04 Leverkusen,Holstein Kiel
2024,6,05/10/2024,18:30,FC St. Pauli,1. FSV Mainz 05
2024,6,06/10/2024,15:30,1. FC Heidenheim 1846,RB Leipzig
